path,current_first_line,status,notes
Dumper/ContentPanel.cs,// ContentPanel,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/ContentPanelHeader.cs,// ContentPanelHeader,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Files/FileIcon.cs,// FileIcon,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Main.cs,// Main,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Models/Memento.cs,// Memento,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Models/Project.cs,// Project,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/DefaultViewerChooser.cs,// DefaultViewerChooser,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/EmptyView.cs,// EmptyView,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/IPlugin.cs,// IViewerPlugin,mismatch,"Header name `IViewerPlugin` does not match the file's primary type `IPlugin`"
Dumper/Plugins/IViewerPlugin.cs,// IViewerPlugin,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/PluginError.cs,// PluginException,mismatch,"Header name `PluginException` does not match the file's primary type `PluginError`"
Dumper/Plugins/PluginManager.cs,// PluginManager,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/PluginsDialog.cs,// PluginsDialog,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Plugins/ViewerPlugin.cs,// ViewerPlugin,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/Properties/Settings.cs,// Settings,unhelpful,"First line is the file's type name; needs a descriptive summary"
Dumper/ResourceProperties.cs,// ResourceProperties,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Analyzers/DisposableOwnershipAnalyzer.cs,// DisposableOwnershipAnalyzer,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Assets/AssetException.cs,// AssetException,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Assets/TextureLoader.cs,// TextureLoader,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Camera.cs,// Camera,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Game/IGame.cs,// IGame,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Game/IWorld.cs,// IWorld,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Game/World.cs,// World,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/ImDraw.cs,// ImDraw,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Input/IInputBinding.cs,// IInputBinding,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Materials/Material.cs,// Material,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Materials/Texture.cs,// Texture,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/MatrixExtensions.cs,// MatrixExtensions,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Meshes/Mesh.cs,// Mesh,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Meshes/Vertex.cs,// Vertex,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Model.cs,// Model,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Numerics/Size.cs,// Size,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/GraphicsAPI.cs,// GraphicsAPI,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/Handle.cs,// Handle,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/IGraphicsSurface.cs,// IGraphicsSurface,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/IRenderer.cs,// IRenderer,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/ISurfaceSettings.cs,// ISurfaceSettings,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Platform/IWindow.cs,// IWindow,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Ray.cs,// Ray,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Scene.cs,// Scene,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Shaders/ShaderError.cs,// ShaderError,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Shaders/ShaderProgram.cs,// ShaderProgram,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Streaming/Progress.cs,// Progress,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/TakesOwnershipAttribute.cs,// TakesOwnershipAttribute,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/Transform.cs,// Transform,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/GDK/UnownedAttribute.cs,// UnownedAttribute,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/OVL/Enums.cs,// Enums,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/OVL/InstallFinder.cs,// InstallFinder,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/OVL/Placement.cs,// Placement,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/CameraExtensionsTests.cs,// CameraExtensionsTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/CameraTests.cs,// CameraTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/ImDrawTests.cs,// ImDrawTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/Input/InputActionMapTests.cs,// InputActionMapTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/Input/KeyboardBindingTests.cs,// KeyboardBindingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/Input/MouseBindingTests.cs,// MouseBindingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/Input/MouseChordBindingTests.cs,// MouseChordBindingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/Input/MouseScrollBindingTests.cs,// MouseScrollBindingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/MatrixExtensionsTests.cs,// MatrixExtensionsTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/RayTests.cs,// RayTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/TextureNameManglingTests.cs,// TextureNameManglingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/GDK/TransformTests.cs,// TransformTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/Integration/EnumCoverage.cs,// EnumCoverage,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/Integration/ExtractResources.cs,// ExtractResources,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/Integration/IngestionTests.cs,// GdkIngestionTests,mismatch,"Header name `GdkIngestionTests` does not match the file's primary type `IngestionTests`"
OpenCobra/Tests/Integration/ListResources.cs,// ListResources,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/Integration/LoaderTypeIndexDiagnostic.cs,// LoaderTypeIndexDiagnostic,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/Integration/TextureDecodeVerification.cs,// TextureDecodeVerification,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/OVL/FileTypeNameManglingTests.cs,// FileTypeNameManglingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/OVL/PaletteConverterTests.cs,// PaletteConverterTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/OVL/TexturesMeasurementTests.cs,// TexturesMeasurementTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenCobra/Tests/SkipIfEnvironmentMissingAttribute.cs,// ExtractResources,mismatch,"Header name `ExtractResources` does not match the file's primary type `SkipIfEnvironmentMissingAttribute`"
OpenRCT3.Tests/Simulation/CameraFramingTests.cs,// CameraFramingTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/PathNetworkTests.cs,// PathNetworkTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/SceneryPlacementTests.cs,// SceneryPlacementTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/TerrainMeshBuilderTests.cs,// TerrainMeshBuilderTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/TerrainPickerTests.cs,// TerrainPickerTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/TerrainTests.cs,// TerrainTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3.Tests/Simulation/WaterPoolTests.cs,// WaterPoolTests,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Game.cs,// Game,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Help/Wiki.cs,// Wiki,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/OpenGL/ColorExtensions.cs,// ColorExtensions,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/OpenGL/DrawNode.cs,// DrawNode,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/OpenGL/Renderer.cs,// Renderer,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/AppConfig.cs,// AppConfig,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/IFolderPicker.cs,// IFolderPicker,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/Input/InputContext.cs,// Input,mismatch,"Header name `Input` does not match the file's primary type `InputContext`"
OpenRCT3/Platforms/SurfaceSettings.cs,// SurfaceSettings,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/Windows/FolderPicker.cs,// WindowsFolderPicker,mismatch,"Header name `WindowsFolderPicker` does not match the file's primary type `FolderPicker`"
OpenRCT3/Platforms/macOS/AppDelegate.cs,// AppDelegate,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/macOS/CrashAlert.cs,// CrashAlert,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/macOS/CrashAlertDelegate.cs,// CrashAlertDelegate,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/macOS/FolderPicker.cs,// MacFolderPicker,mismatch,"Header name `MacFolderPicker` does not match the file's primary type `FolderPicker`"
OpenRCT3/Platforms/macOS/GameViewController.cs,// GameViewController,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Platforms/macOS/MainWindow.designer.cs,// WARNING,autogenerated,"Xamarin designer-generated; do not edit"
OpenRCT3/Platforms/macOS/OpenGLLayer.cs,// OpenGLLayer,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Program.macOS.cs,// Program,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Program.windows.cs,// Program,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Simulation/Edge.cs,// Edge,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Simulation/Park.cs,// Park,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Simulation/Terrain.cs,// Terrain,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/Simulation/World.cs,// World,unhelpful,"First line is the file's type name; needs a descriptive summary"
OpenRCT3/ViewModels/Inspector.cs,// Inspector,unhelpful,"First line is the file's type name; needs a descriptive summary"
